step,coverage,distance,uncertainty,siren
0,0.0,4.468347066266044,0.001876123040677501,
1,0.010919444444444445,10.039490446404525,0.0025212929958057227,
2,0.017719444444444444,15.013947416032664,0.002904015511678881,
3,0.021597222222222223,23.81389669687205,0.0030777499750744837,
4,0.026441666666666665,32.536616128369005,0.0033897011165219333,
5,0.03571388888888889,51.614053535865224,0.0039286261157459295,
6,0.040175,75.53213889508845,0.004118186503098696,
7,0.04962777777777778,80.20403164925162,0.004710953008306549,
8,0.059422222222222223,88.87399278897357,0.005263489820823694,
